tag,line,claim,manuscript,computed,status,note
C43,94,source attribution per year,NVSR 73-09 / 57-08 / NCHS user guide,1992-1994 UG=True; 1995-2002 57-08=True; 2005-2022 73-09=True,PASS,
C44,100,cause-of-death not in PUF pre-2014,fetal_death/CODEBOOK.md cause_icd10 entry,"pre-2014 blank-rate min=100.0% (uses empty-string sentinel, not NA)",PASS,
C45,100,~50% records lack cause data 2018+,fetal_death/CODEBOOK.md cause_icd10,2018+ blank-rate range 46.9-50.8%,PASS,
C33,60,three within_era columns,3,24 (three named ARE within_era; manuscript wording is scope-restrictive),L11,PRE-FLIGHT decision: scope-restrictive reading; Task 5 line-60 precision-edit recommended
C47,104,MEDUC blank V1 2007-2013(+),blank (manuscript uses raw NCHS name),raw NCHS MEDUC maps to harmonized: ['certificate_revision'],L11,manuscript italicises raw NCHS field name as if a harmonized column — Task 5 wording fix
C48,104,FAGECOMB blank V1 2007-2013(+),blank (manuscript uses raw NCHS name),raw NCHS FAGECOMB maps to harmonized: [],L11,manuscript italicises raw NCHS field name as if a harmonized column — Task 5 wording fix
C49,104,MEDUC_REC blank V1 2007-2013(+),blank (manuscript uses raw NCHS name),raw NCHS MEDUC_REC maps to harmonized: ['maternal_education_cat4'],L11,manuscript italicises raw NCHS field name as if a harmonized column — Task 5 wording fix
C04,7,natality ~3.5M live births/year,~3.5M,"3,966,275 (mean), 3,605,081-4,324,008",DIFF,
C07,9,2003-2014 natality phasing,NCHS source docs,(cite-only or out-of-monorepo),CITE-ONLY,
C08,9,2005-2017 V1 fetal-death window,fetal_death/COMPARABILITY.md,(cite-only or out-of-monorepo),CITE-ONLY,
C09,9,100% A-version in 2018,fetal_death/COMPARABILITY.md,(cite-only or out-of-monorepo),CITE-ONLY,
C10,9,2006 natality 1500->775 bytes,natality record_layout_2006/2013,(cite-only or out-of-monorepo),CITE-ONLY,
C11,9,2009 unrevised-only blanked,natality COMPARABILITY,(cite-only or out-of-monorepo),CITE-ONLY,
C12,9,2014 natality 1345-byte layout,natality record_layout_2014,(cite-only or out-of-monorepo),CITE-ONLY,
C13,11,Salihu 1995-1998 citation,PMID/DOI footnote,(cite-only or out-of-monorepo),CITE-ONLY,
C14,11,Willinger 2001-2002 citation,PMID/DOI footnote,(cite-only or out-of-monorepo),CITE-ONLY,
C15,15,first release 2026,STATUS.md bootstrap entry,(cite-only or out-of-monorepo),CITE-ONLY,
C20,19,2005-2015 denom-plus; 2016-2023 period-cohort merged,COMPARABILITY,(cite-only or out-of-monorepo),CITE-ONLY,
C23,21,2003 transition 1351 bytes,NCHS 2003 fetal-death user guide (V2.1 deferred),(cite-only or out-of-monorepo),CITE-ONLY,
C24,21,2004 transition 1501 bytes,NCHS 2004 fetal-death user guide (V2.1 deferred),(cite-only or out-of-monorepo),CITE-ONLY,
C35,75,fetal-death pipeline ~6 min,benchmark (not in shipped artifact),(cite-only or out-of-monorepo),CITE-ONLY,
C36,75,natality pipeline ~90 min,benchmark (not in shipped artifact),(cite-only or out-of-monorepo),CITE-ONLY,
C37,83,live_births_by_year sources NVSR 57-08 + 73-09,fetal_death/live_births_by_year.csv Source col,(cite-only or out-of-monorepo),CITE-ONLY,
C38,85,Level 1/2/3 verification timing,benchmark (not in shipped artifact),(cite-only or out-of-monorepo),CITE-ONLY,
C46,100,state IDs in fetal-death raw 1992-2002 only,fetal_death/PROVENANCE / raw parquets,(cite-only or out-of-monorepo),CITE-ONLY,
C50,106,Maryland 1992-1998 no Hispanic,fetal_death/COMPARABILITY.md,(cite-only or out-of-monorepo),CITE-ONLY,
C51,106,Massachusetts 1992-1997 no Hispanic,fetal_death/COMPARABILITY.md,(cite-only or out-of-monorepo),CITE-ONLY,
C52,106,Louisiana 1992-1994 plurality under-reported,fetal_death/COMPARABILITY.md,(cite-only or out-of-monorepo),CITE-ONLY,
